method_name,scenario,patch,runtime_seconds,expected_cost_component,feasibility_pass,scenario_scaling_runtime,scenario_scaling_cost_degradation,horizon_hours,n_microgrids
GreedyCriticalLoadFirst,normal,MG1-MG2-MG3,0.0,21634.895912795357,True,0.0,0.3538002172609618,4,3
SLSQPDispatchOptimizer,normal,MG1-MG2-MG3,0.11004829220473766,15980.863082270405,False,0.11004829220473766,0.0,4,3
CMPO-local polynomial search,normal,MG1-MG2-MG3,0.10506416717544198,21634.895912795357,True,0.10506416717544198,0.3538002172609618,4,3
GreedyCriticalLoadFirst,renewable_shortfall,MG1-MG2-MG3,0.0,22665.152635604645,True,0.0,0.19109590165682677,4,3
SLSQPDispatchOptimizer,renewable_shortfall,MG1-MG2-MG3,0.0989510421641171,19028.822619637245,False,0.0989510421641171,0.0,4,3
CMPO-local polynomial search,renewable_shortfall,MG1-MG2-MG3,0.10245358385145664,22665.152635604645,True,0.10245358385145664,0.19109590165682677,4,3
GreedyCriticalLoadFirst,demand_surge,MG1-MG2-MG3,0.0,22739.677040168644,True,0.0,0.47087844367832554,4,3
SLSQPDispatchOptimizer,demand_surge,MG1-MG2-MG3,0.09850508300587535,15459.929498526059,False,0.09850508300587535,0.0,4,3
CMPO-local polynomial search,demand_surge,MG1-MG2-MG3,0.10125029133632779,22739.677040168644,True,0.10125029133632779,0.47087844367832554,4,3
GreedyCriticalLoadFirst,pcc_failure,MG1-MG2-MG3,0.0,22440.512233424328,True,0.0,0.038827345370382016,4,3
SLSQPDispatchOptimizer,pcc_failure,MG1-MG2-MG3,0.10070925019681454,21601.772742537327,False,0.10070925019681454,0.0,4,3
CMPO-local polynomial search,pcc_failure,MG1-MG2-MG3,0.10191299999132752,22440.512233424328,False,0.10191299999132752,0.038827345370382016,4,3
GreedyCriticalLoadFirst,local_generator_failure,MG1-MG2-MG3,0.0,15319.151072029208,False,0.0,0.0,4,3
SLSQPDispatchOptimizer,local_generator_failure,MG1-MG2-MG3,0.026741959154605865,15319.151072029208,False,0.026741959154605865,0.0,4,3
CMPO-local polynomial search,local_generator_failure,MG1-MG2-MG3,0.10200570803135633,15319.151072029208,False,0.10200570803135633,0.0,4,3
GreedyCriticalLoadFirst,storm_forced_islanding,MG1-MG2-MG3,0.0,22356.01930193228,True,0.0,1.3945272205884152e-06,4,3
SLSQPDispatchOptimizer,storm_forced_islanding,MG1-MG2-MG3,0.10253574978560209,22355.988125898293,False,0.10253574978560209,0.0,4,3
CMPO-local polynomial search,storm_forced_islanding,MG1-MG2-MG3,0.10517504112794995,22356.01930193228,True,0.10517504112794995,1.3945272205884152e-06,4,3
GreedyCriticalLoadFirst,restoration,MG1-MG2-MG3,0.0,22408.963534706505,True,0.0,0.030188242457106274,4,3
SLSQPDispatchOptimizer,restoration,MG1-MG2-MG3,0.10141429165378213,21752.299833338024,False,0.10141429165378213,0.0,4,3
CMPO-local polynomial search,restoration,MG1-MG2-MG3,0.10432549985125661,22408.963534706505,True,0.10432549985125661,0.030188242457106274,4,3
GreedyCriticalLoadFirst,combined_high_stress,MG1-MG2-MG3,0.0,17121.633306021682,True,0.0,0.02677367681980103,4,3
SLSQPDispatchOptimizer,combined_high_stress,MG1-MG2-MG3,0.06789354188367724,16675.177492913594,True,0.06789354188367724,0.0,4,3
CMPO-local polynomial search,combined_high_stress,MG1-MG2-MG3,0.10628054104745388,17121.633306021682,True,0.10628054104745388,0.02677367681980103,4,3
